Dimension,Verbatims
Canales y servicios,Es muy difucil de usar la pagina te pide muchas veces que cambie la clave
Gestion de consultas,Porque el gerente no me supo explicar como me desaparecua plata de la cuenta
TCR,Falta informacion
Calidad de atencion ,Es basica su atencion falta de atencion
Disp. automaticos,Faltantes de dinero
Canales y servicios,Porque tardan demasiado en atender
Marca,Es normal como todos los demas es una escala neutra porque es un cajero que no importa nada mas solo es una cuenta a sueldo ya que lo tiene otro banco ya que es una cuenta a sueldo
Canales y servicios,Anda todo bien
Canales y servicios,No nos atendieron no nos hemos podido comunicar no nos han resulto lo que queruamos saber.
Canales y servicios,Muy lenta y no hablas con nadie te pasan te cuenta lo que tiene y lo que no tiene tardas una hora y no te atiende nunca
Canales y servicios,Demoran en atenderme cuando me comunico telefonicamente tardan en atenderme.
Productos,Yo no le recomiendo nada a Nadia en mi caso la tarjeta de credito tuvo ese desarrollo. No se manejarme con la tarjeta 10 para mu es un mantenimiento a cuenta cada vez que tengo que renovar la tarjeta. Antes la daban vencimiento a la tarjeta que te denuncian con los intereses y montos para renovarla que es obligatorio no me den vuelta el bolsillo porque me dejan babiendo despues que hay que renovar la tarjeta.
Canales y servicios,Es muy engorroso
Disp. automaticos,Porque muchas veces no funcionan todo y eso se llama me importa tres comino el servicio
Tiempos de espera,Porque tardan bastante en atender.
Tiempos de espera,Porque hay mucha demora en la caja. Hay poco personal para tanta gente en caja a diferencia de ventas que hay muchos mas.
Disp. automaticos,Porque no tienen buen funcionamiento
Canales y servicios,Tardan en atender te ponen el telefono este de mierda que ponen muchas boludeces cuando queres saber algo te dan miles de vueltas o tardan tambien en darte con la persona que tiene que responderte ponele 10 minutos me hacen esperar yo por ejemplo soy comerciante y necesito que me atiendan rapido si estuviera al pedo me chupa un huevo
Calidad de atencion ,Porque la persona que me atendio lo hizo de mala manera me rompio las tarjetas en la cara y me parece que eso no es necesario me hizo un desprecio. La persona que esta en la entrada fue la que me hizo eso cuando en realidad el que me tenua que atender era el decortico de cuentas.
Canales y servicios,No es tan agil
Tiempos de espera,Porque cuando fui a la sucursal se demoran mucho en atenderme. Incluso me hicieron esperar a pesar que llegue antes
Canales y servicios,Porque se demoran mucho en atender a veces uno llama y no atendes tienen que volver a llamar
Disp. automaticos,No te agarra el dinero nunca funcionan o mal casi siempre
Tiempos de espera,Hay mucha demora. Eso es tan grande a veces se pierde mucho tiempo
Disp. automaticos,Porque te dan billetes de 200 y 500 y despues no lo puedes utilizar en los pagos
Canales y servicios,Es complicado manejarla a veces no es claro.
Canales y servicios,Porque es todo automatico y no conseguu hablar con un empleado.
Canales y servicios,Digamos que es mucha seguridad que necesita y es muy lenta el sistema no actualiza vua online si hago una operacion y no me figura y tarda mucho en actualizar mas de 48 horas y muchas publicidades y esa si accede rapido y con las claves es lento y la publicidad es un lentitud en el sistema
Tiempos de espera,Porque estuve media hora esperando y me tuve que ir antes de que me atienden
Tiempos de espera,Porque hay muchusima gente y poca atencion en las cajas las colas son enormes se pierde muchusimo tiempo una hora perdida la ˙ltima vez que fui
Disp. automaticos,Porque en donde vivo (Neuquen) hay un solo cajero hay colas inmensas para utilizar el cajero automatico.
Tiempos de espera,Por la demora que tiene las esperas
Productos,Porque hay muchos problemas con la tarjeta no me gusta la tarjeta porque cobran muchos intereses la voy a dar de baja
Disp. automaticos,Porque esta cubierto de gente no es posible que tarde tanto tiempo en sacar plata hay muy pocos cajeros y a veces no funcionan para una cola de 50 personas solo funcionan uno o dos cajeros eso no es posible
Tiempos de espera,Porque es muy lento y no son agiles con los clientes muy lento
Canales y servicios,Porque son muy pesados. Te llaman muchas personas durante muchos duas seguidos.
Canales y servicios,Es mala la atencion porque no quieren atender y te derivan de un lado a otro y por una consulta tarda mas de 20 de minutos.
Canales y servicios,No he podido comunicarme nunca. Hay que tener codigos para comunicarse y yo no tengo los codigos directamente no me deja comunicar.
Canales y servicios,Porque para que lo atiendan hay mucha demora piden un monton de informacion lo dedican y piden mas informacion sobre la clave numero luego se corta es imposible perder tiempo
Productos,Porque el monto que me otorgaron fue interesante y el tramite fue rapido y expeditivo.
Productos,Porque es muy facil de solicitar
Gestion de consultas,El tiempo no recibu una solucion rapida
Canales y servicios,Es mucho mas facil utilizar la cuenta desde ahu es mucho mas rapido.
Productos,Mejores tasas de interes. O hacer un plan a menos cuotas.
Gestion de consultas,Tardaron mucho en resolver mi reclamo.
Gestion de consultas,En uno de los reclamos el banco me decua que tenua que llamar a la tarjeta y la tarjeta me decua que tenua que llamar al banco
Canales y servicios,Parque es agil de facil acceso cualquier persona puede usarla. Puedo realizar todo tipo de operaciones pagar impuestos y hacer transferencias a otras cuentas.
Gestion de consultas,No me respondieron nada de las preguntas que les hice. Me dijeron que lo vea por internet o que llame a un n˙mero telefonico. Ante cada pregunta que les hacua para poder pagar lo que debua no me supieron responder.
Canales y servicios,Pude entrar con facilidad. La aplicacion es muy practica.
TCR,Siempre se expresan bien y uno entiende bien cuando te explican. Eso es lo bueno.
Gestion de consultas,Porque todos los meses tengo que hacer el mismo reclamo es un debito  automatico que no me genera con respecto a la promocion
Gestion de consultas,Porque me resulto un poco lerdo pero me lo resolvieron de forma satisfactoria
Productos,Mas facilidad en el pago.  Me refiero a bajar las tasas de interes. Porque es mucho lo que termina devolviendo sobre todo al ser tasa variable. Podrua ser a cuota fija en todo caso.
Canales y servicios,Mejorarua la parte de los informes sobre saldos y disponible. Esa serua la primera informacion que deberua aparecer cuando uno entra.
Canales y servicios,Porque  es legible puedo realizar pagos  consultas y transferencias de manera sencilla. Me resulta ˙til.
Canales y servicios,Porque es muy facil de utilizar y me brinda todos los datos necesarios para operar con el banco.
Productos,Porque a pesar de que tengo una cuenta ahu fue rapido y sencillo poder obtenerlo.  Me dieron en 24 hs.
TCR,Porque  habuamos acordado una determinada fecha para el pago y no fue respetada.
Canales y servicios,No mejorarua nada. Me gusta porque es practica para el uso cotidiano.
Canales y servicios,Por ahu se tilda un poco la aplicacion cuando la utilizo.
Canales y servicios,Para mi esta perfecta no le encuentro nada puedo contratar mis depositos mis entradas y salidas  estoy conforme con la aplicacion
Gestion de consultas,Hace un aÒo que estoy con el problema de la tarjeta de credito y no tuve ninguna respuesta. Hace un aÒo que estoy sin tarjeta. Fui un monton de veces al banco y nadie me dio una respuesta y yo sigo sin tarjeta.
Tiempos de espera,Porque la verada fue rapido la solucion
Canales y servicios,Porque funciona bien es rapida y no se cuelga el sistema y ademas  facil de usar.
Calidad de atencion ,Me gusta porque te llaman para saber lo que necesitas saber en cuanto a lo que debes pagar.
Productos,Los costos del seguro deberuan mejorar
Canales y servicios,Porque es practico y comodo...es bueno el servicio en el celular la aplicacion esta bueno
Canales y servicios,Es mas facil hacer las transferencias en la web que hacerlas en frances movil.
Productos,Mejorar en cuanto a las tasas. De interes solamente
Tiempos de espera,El tema de la atencion demora mucho cuando uno tiene que hacer una consulta
Canales y servicios,Porque funciona me es ˙til lo consulto mas que nada para hacer movimientos y chequear mi cuenta a veces es lento pero supongo que es por la seÒal solo consulto mi sueldo y los debitos que realizo
Canales y servicios,Porque esta toda completo la informacion
Productos,Deberuan bajas los intereses.
Canales y servicios,Me gusta porque me resulta comoda para poder pagar las tarjetas. Tambien es buena para hacer transferencias y pagos.
Canales y servicios,Porque es sencilla tiene un men˙ bastante accesible es clara. Puedo realizar las operaciones correctamente... Estoy muy conforme con la aplicacion.
TCR,Le puse un 8 porque si pero me explicaron bien lo que tenua que hacer
Gestion de consultas,Porque  me queje muchas veces por el mismo problema y no obtuve ninguna solucion a mi reclamo.
Gestion de consultas,Porque me solucionaron el problema que yo necesitaba
Canales y servicios,Cumple con todas las caracterusticas de una App movil para  lo que yo necesito
Calidad de atencion ,Lo he recomendado a mu me resulto al principio facil y despues difucil por la conexion  porque no se tenua novedad pero ahora esta todo ya transferu que para pagar la primera cuota
Canales y servicios,Hay cosas que dentro de la App no se explican muy bien como por ejemplo las promociones lo de refri y viaja no estan bien explicados  despues es todo facil.
Productos,No se que deberua mejorar le pongo un 10 entonces es facil es rapido y la tasa de interes es baja.
Canales y servicios,Porque  funciona bien nunca tuve problemas de que se haya trabado siempre que quise preguntar o consultar del celular o la computadora siempre me respondio el sistema.
Canales y servicios,Por ahu puedo hacer de todo puedo hacer todo tipo de transacciones pagos plazos fijos.
Productos,Porque fue rapido sencillo y era justo lo que necesitaba.
Productos,El tema de las tasas podruan mejorar tener en consideracion el tipo de cliente una tasa mas preferencial
Productos,Porque me asignaron el credito bastante rapido sin mucho requisito.
Productos,Hace 15 aÒos que soy cliente porque es alta la tasa pero siempre que fui tuve un prestamo aunque es alta la tasa lo volverua a elegir porque soy cliente de ese banco
Calidad de atencion ,Porque estan bastante en lunea con los atrasos. Si te pasas un par de duas ellos te llaman para recordartelo. Eso me parece bueno. No inician algo legal primero sino que tratan de negociar antes.
Canales y servicios,Yo creo que deberua ser igual que en la pagina hay cosas que no se pueden  en la aplicacion es como algo resumido no recuerdo en este momento. Pero es  muy ˙til.
Canales y servicios,Porque es amigable para hacer las operaciones por ej. Transferencia y pagos.
Canales y servicios,Porque es facil y practico lo uso en la calle o en la oficina
Gestion de consultas,Se ocuparon totalmente de inconveniente me habilitaron los n˙meros que necesitaba para poder continuar por el reclamo.
Productos,Por la tasas son baja y lo pude sacar el prestamos
Canales y servicios,La verdad que no tengo idea quizas la lentitud para operar que no se si es mas de internet o del banco
Productos,Que no cobre tanto intereses
Canales y servicios,Porque lo uso constantemente para hacer transferencias ver saldos mi caja de ahorro y lo uso  para eso nada mas y esta bien.
Disp. automaticos,Porque siempre pude utilizarla facilmente. Es de facil utilizacion. Por ej. Hacer los pagos de pagos mi cuenta y consulta de saldos.
Canales y servicios,Porque me ha sido muy ˙til y no tuve ning˙n inconvenientes
Productos,Porque cuando lo saque no tuve ning˙n problema y las tasas son buenas
Canales y servicios,Porque es medio lento para abrir la aplicacion tardad en abrir y pude ser capas mi conexion de mi celular
Productos,Tener mas beneficio para el cliente
Gestion de consultas,Porque me supieron comprender y me trataron de ayudar a solucionar el problema
Canales y servicios,Yo personalmente creo que esta bien se ve todo bien es clara sencilla. No tuve problemas en encontrar las cosas ni en hacer lo que tenga que hacer.
Canales y servicios,Porque se demora un poco para entrar
Canales y servicios,No puedo ver los movimientos pendientes en la App
Calidad de atencion ,Por el trato y por el recordatorio que a uno  le hacen ellos no me llaman siempre pero cuando hubo un retraso me lo hicieron saber para que no sea mayor el interes supongo.  el trato es muy bueno.
Calidad de atencion ,Por la atencion porque fue buena fueron amables.
Canales y servicios,La verdad es que no estoy tan al tanto de como esta la aplicacion actualmente porque no el uso hace bastante me sirvio en el momento  en lo que necesite para ver los movimientos de mi cuenta.
Canales y servicios,Porque es rapido accesible no hace falta estar en un lugar para poder usarlo para hacer pagos transferencias para ver todo. Te facilita muchas cosas porque ahora desde tu casa podes hacer todas las transferencias.
Productos,Me lo ofrecieron y me lo concedieron enseguida la rapidez y me serbia y vi que se podua cancelar enseguida eso esta bueno.
Canales y servicios,Porque  es efectiva amena  y facil de utilizar. No es complicada.
Calidad de atencion ,Porque tiene todo lo que yo necesito.
Gestion de consultas,Porque el ejecutivo lleva muy bien adelante la cuenta trabaja y tiene las cosas al dua
Gestion de consultas,Porque las personas solucionan los temas como corresponde
Gestion de consultas,Porque es altamente eficiente
Productos,Lo que pasa es que no me gusta recomendar bancos LAN pass me gusta
Calidad de atencion ,Por la  atencion cordial y el servicio
Canales y servicios,Porque es practica la pagina
Calidad de atencion ,Porque soy vip la rapidez de la atencion
Canales y servicios,Me gusta la facilidad de acceso. Me gusta la visualizacion que tiene.
Productos,La variedad es amplia y tiene una buena relacion costo beneficio.
Canales y servicios,Porque es facil de usar y dinamica.
Gestion de consultas,Porque resuelve los temas que necesito o los problemas.
Calidad de atencion ,No se me ocurre nada para mejorar.  Estoy conforme con todos los productos que tengo.
Tiempos de espera,La sucursal de puerto madero es rapida porque tiene poca gente.
Tiempos de espera,Es rapida la sucursal por la poca gente que va.
Tiempos de espera,En la sucursal de madero esta organizada y es fluida.
Productos,Me gusta porque no tengo costo de reposicion de tarjeta ni de mantenimiento.
Tiempos de espera,Cuando voy a la sucursal demoran mucho en los boxes. Perdes tiempo.
Canales y servicios,Es de facil y acceso y didactica.
Canales y servicios,Han cambiado cosas que la han hecho mas amigable.
Productos,Que haya mas cantidad de promociones  con las tarjetas mas que nada en supermercados.
Calidad de atencion ,Porque la atencion de los cajeros es amable.
Calidad de atencion ,Porque la atencion  es amable y por la buena predisposicion  de los ejecutivos de cuenta y tambien de los cajeros.
Productos,Mejorar las  promociones en cuanto a las tarjetas de credito.
TCR,A mu me cobran hasta ahora yo no tengo que pagar mantenimiento y me lo cobran siempre
Calidad de atencion ,Son serviciales como corresponden
Calidad de atencion ,Porque en ese banco son ambles
Calidad de atencion ,Porque estoy conforme
Tiempos de espera,Tendruan que mejorar la atencion en sucursales hay una persona sola en atencion al p˙blico y no puede atender a todos.
Tiempos de espera,No hay personal para atender al p˙blico en atencion al cliente.
Canales y servicios,Porque es muy practico para gente que no es muy sabio en la computacion
Calidad de atencion ,Porque cuando voy  me atienden bien el trato es muy amable
Marca,Porque tiene los mismo productos en los distinto bancos y nada  para los clientes
Productos,No es un poco mas caro que el resto  la lunea completa es mas acara del banco
Canales y servicios,Pago los sueldos por ahu todo lo que necesitas esta ahu me manejo muy bien. Hago transferencias a proveedores
Productos,Por las mismas de siempre me ofrecen todo lo que tienen cambio de cheques siempre que voy al banco
Canales y servicios,Porque tambien me solucionan el problema en cuanto a mu por lo menos. A lo mejor son pavadas las que pregunto o yo soy muy inteligente agarro enseguida.
Calidad de atencion ,Porque me gusta la atencion personalizada tengo destaco el mismo responsable de cuentas desde que entre al banco
Canales y servicios,Porque no es amigable para nada
Gestion de consultas,Porque responden a mis necesidades
Calidad de atencion ,Esta todo bien siempre me han atendido muy bien y cordial  bueno ahu tengo la cuenta mua siempre  voy ahu a la de la rioja
Calidad de atencion ,Siempre voy cuando tengo retirar un monto grande la atencion es buena y cordial.
Calidad de atencion ,Por el movimiento de la institucion no tuvimos problema
Calidad de atencion ,Porque hemos tenido buena atencion si vamos a hacer una extraccion el personal que va a cobrar vamos a la caja y cobran igual
Canales y servicios,El sistema por el cual se hacen las transferencias es agil facil de usar me parece que le faltan algunas funciones para hacerlo mas ˙til.
Canales y servicios,Porque te atienden rapido te dan respuestas. He tenido problemas  y me ayudaron a resolverlo
Canales y servicios,Por los mismo que antes es agil y facil de usar.  Para hacer transferencias.
Tiempos de espera,El tiempo de demora en la atencion se demora demasiado en atencion al p˙blico
Canales y servicios,Porque es practico y facil todo bien detallado
Tiempos de espera,El tiempo de espera es demasiado largo tienen pocas cajas en la sucursal hay mucha gente
Productos,Porque los producto son caros los creditos personales no me dan la plata que necesito para comprar un 0km es un banco caro
Procesos,Porque es facil para operar y son rapidos los tramites
Canales y servicios,Porque me resolvieron rapidamente un inconveniente con el homebanking
Canales y servicios,Hago toda la operatoria por el homebanking es de facil acceso y tiene todo la pagina es muy visible para hacer las operacion
Calidad de atencion ,Tienen atencion personalizada con todos los clientes
Tiempos de espera,Mas personal en la lunea de cajas
Productos,Por LAN pass por la suma de millas
Calidad de atencion ,Todo funciona bien me atienden barbaro
Productos,Uso las tarjetas y las aceptan en todos lados
Canales y servicios,Porque es claro sencillo y facil de usar hacemos varias transacciones
Productos,Porque suelen tener buenos beneficios  ahora no se me ocurre. Solo por eso.
Canales y servicios,Podrua mejorar la parte informativas
Calidad de atencion ,Porque no tuve problemas nunca siempre atienden bien son muy amables.
Canales y servicios,Muy rapido muy transparente y muy facil e manejar
Tiempos de espera,Podruan agregar una caja porque es medio tedios por la espera unos 20 o 25 min.
Canales y servicios,Hago todo por home banking es una herramienta sumamente comoda  hago todos los pagos de sueldos de semillas.
Tiempos de espera,Porque me atendieron enseguida y yo habua ido a extraer dinero.
Gestion de consultas,Tienen que entenderse mas entre ellos porque los de arriba de la sucursal no le explican a los de abajo en la sucursal hay mucha desinformacion entre los mismos empleados de la sucursal porque tuve varios problemas con las tarjetas.
Procesos,Porque los extractos no llegan y no podemos pasar a buscarlo por la sucursal  no envuan los extractos bancarios
Canales y servicios,Porque es facil amigable el acceso
Canales y servicios,Nada es perfecto es difucil comunicarse telefonicamente
Canales y servicios,Porque funciona es satisfactorio puedo hacer transferencias.  Solo por eso
Tiempos de espera,Que por ahu hay mucha gente tienen que ver la posibilidad de  atender mas personal o tener mas personas que atiendan. Cuando uno va a hacer tramites se espera unos diez minutos
Canales y servicios,Porque la verdad que es facil poder resolver todas las cosas desde ahu desde la pagina. La verdad que es comodo
Productos,A mu me faltarua capaz acceder a los beneficios de las tarjetas nosotros sacamos pasajes y necesitaruamos mas facilidad en el sentido de beneficios con las tarjetas.
Canales y servicios,Porque tenes facil acceso para mirar los movimientos.  Puedo ingresar y mirarlo.
Disp. automaticos,La parte de los cajeros electronicos
Calidad de atencion ,Porque no es mejor y ni mejor que los otros bancos son iguales los servicios
Calidad de atencion ,Tienen muy buena  atencion que revimos es muy personalizada
Canales y servicios,Porque es agil y facil para operar
Tiempos de espera,Es un poco lenta la atencion
Calidad de atencion ,Porque no hemos tenido inconvenientes son buenos
Calidad de atencion ,Hace varios aÒos que somos clientes de Uds. y nunca tuvimos ning˙n inconveniente. Las veces que necesitamos el ejecutivo de cuentas siempre estuvo. Siempre no fue bastante bien con  el banco
Canales y servicios,Porque funciona bastante bien desde la ˙ltima actualizacion que al principio andaba mas o menos pero ahora funciona perfecto. Saco toda la informacion que necesito.
Canales y servicios,Por la rapidez para hacer consultas transferencias pago de sueldos.
Calidad de atencion ,La atencion a las empresas la amabilidad con las que nos atendieron cuando fuimos a hacer un deposito.
Calidad de atencion ,Porque nos hacen  una atencion preferencial por ahu nosotros movemos mucho dinero y se lo entregamos por atras y se lo acercan a la tesorerua.
Canales y servicios,No me solucionaron la inquietud que tenua en lo absoluto.
Gestion de consultas,Poca resolucion de los problemas cotidianos
Canales y servicios,Porque es facil de usar para operar
Calidad de atencion ,Porque hemos hecho transacciones sin inconvenientes
Canales y servicios,Porque es igual a todas las otra paginas webs de los otros bancos. No tiene nada diferente. Nada que la distinga de las demas
Productos,Porque ni siquiera me ofrecieron por ej. Las tarjetas de credito para los empleados de la empresa.
Canales y servicios,Porque es simple y sencilla para operar.
Productos,Bajar las tasas de interes.
Procesos,Por la agilidad para poder gestionar cualquier tipo de tramites.
Productos,Tendrua que tener prestamos en pesos para lo que es creditos prendarios. Porque actualmente solo existen en dolares.
Calidad de atencion ,Me gusta porque nos brindan atencion personalizada.
Canales y servicios,Me gusta porque es agil.
Disp. automaticos,Deberuan tener mas terminales de autoservicio.
Canales y servicios,Porque es rapida para usar. Lo que necesito hacer lo puedo visualizar o resolver por la pagina web.
Calidad de atencion ,Porque todos los servicios que utilizamos funcionan correctamente con la empresa.
Procesos,La parte operativa de transferencias deberua ser mas sencilla.
Canales y servicios,Deberua ser mas sencilla la parte de transferencias.
Calidad de atencion ,Me gusta porque es amable.
Tiempos de espera,Es tedioso cuando hay mucha gente es lenta. Hay muchas gentes para pocos cajeros.
Canales y servicios,El diseÒo nuevo esta bueno. Tenes todo a la vista y es accesible.
Gestion de consultas,No le pone voluntad le preguntas algo y no tiene voluntad.
Canales y servicios,Porque puedo ver todo desde ahu y no necesito concurrir a la sucursal.
Tiempos de espera,Por la rapidez en la atencion.
Productos,Porque destaco el lumite de compra disponible que tengo con las tarjetas y por la renovaciones de los plasticos que llegan siempre en tiempo y forma.
Canales y servicios,Me gusta porque es rapido y entendible. Puedo pagar las cuentas sin problema.
Productos,En cualquier parte del mundo te reciben las tarjetas. Me las renuevan a termino. Cuando tuve problemas con las tarjetas lo pude resolver.
Canales y servicios,Porque cuando llame por alg˙n reclamo me lo han solucionado.
Canales y servicios,Por la agilidad y porque me resulta clara y por ser completa en cuanto a las operaciones para realizar.
Calidad de atencion ,Por la cordialidad del personal de la misma.
Calidad de atencion ,Porque estoy conforme con todos los productos que tengo el banco.
Calidad de atencion ,Me gusta la calidez del personal.
Procesos,Me gusta la agilidad que tienen para hacer plazos fijos extracciones o cuando perdes una tarjeta.
Layout sucursal,Poder acceder en mi sucursal a hablar con un oficial de cuentas en forma privada.  Estan al frente de todo el mundo no hay sector privado.
Layout sucursal,Que haya un sector privado para poder hablar con los ejecutivos de cuenta porque actualmente no existe un lugar para hablar con ellos de forma privada. Esta todo muy expuesto.  Me refiero a la localidad de las Heras.
Calidad de atencion ,Porque nunca tuve problemas con la caja de ahorro y con los plazos fijos. Es lo ˙nico con lo que opero con el banco.
TCR,Fui a hacer un deposito y la chica me dio toda la informacion para poder concretarlo.
Productos,Porque tengo todos los beneficios con el banco tengo todo bonificado porque tengo la cuenta sueldo.
Canales y servicios,Porque puedo realizar todo lo que yo necesito por la pagina web
Productos,Le gustan las promociones para ir al cine. Me entregaron las tarjetas rapidamente.
Canales y servicios,En general las veces que me comunique han resuelto mis consultas no se me ocurre nada para mejorar.
Canales y servicios,Porque es muy rapida y facil de entender y de como funciona y me resulta muy practica.
Calidad de atencion ,Porque me atienden de forma muy calida. Me refiero a la sucursal 111 de Balvanera.
Productos,Podruan bajar un poco las tasas de interes tanto en las tarjetas de credito como con los prestamos personales.
Productos,Los fondos de inversion no estan promocionados entre los clientes uno los tiene que buscar.
Canales y servicios,La cambiaron y ahora me cuesta encontrar lo que busco.
Productos,Tengo muchos beneficios con las millas de las tarjetas.
Canales y servicios,Han cambiado la pagina y es mas amigable.
Gestion de consultas,Tuve un problema con la clave de la tarjeta y me lo resolvieron en dos minutos.
Gestion de consultas,Hace aÒos que lo conozco me asesora y me soluciona los problemas.
Productos,La tasa de interes de creditos para los vips esta buena. Tambien acumulas mas puntos para LAN pass.
Canales y servicios,No mejorarua nada. Ante un problema me aconsejaron bien.
Canales y servicios,Me gusta el nuevo formato es mas moderno
Calidad de atencion ,Los cajeros son simpaticos y atentos. Siempre te reciben muy bien.
Canales y servicios,Es practica y me permite hacer todas las operaciones.
Productos,Tengo el seguro de hogar y es practico me llega la poliza a mi casa.
Canales y servicios,Porque el acceso es sencilla y no inconvenientes a la hora de comunicarme y me han resuelto la consulta sin problemas.
Canales y servicios,Porque es agil y note mejoras en los ˙ltimos tiempos. No hay problemas de cauda del sistema y no demoro mucho en realizar las operaciones que necesito.
Layout sucursal,Porque es mas amplia que otras es mucho comoda por ej. Que la Castelar. Me refiero a la sucursal de Ituzaingo.
Canales y servicios,A veces las transacciones de las tarjetas no estan online.
Gestion de consultas,Deberuan mejorar el asesoramiento comercial no me convencen por eso no tomo productos.
Canales y servicios,Atendieron mis requerimientos me solucionaron el problema
Canales y servicios,Funciona bien y es amigable.
Tiempos de espera,Porque cada vez que voy al banco tengo que hacer cola para la atencion
Canales y servicios,Porque la actualizacion no es buena la pagina de antes era mejor
Tiempos de espera,Por la demoras en la parte de la atencion
Calidad de atencion ,Por la atencion y tienen encuentra al cliente mide a los clientes a todos por igual
Calidad de atencion ,Porque la atencion que tiene los personal es bueno
Tiempos de espera,Porque solucionan los problemas rapido. O sea la lunea de cajas no tuve problemas los tramites que voy lo que sea compra de dolares o cambio me lo solucionan rapido
TCR,Porque es clara y precisa
Canales y servicios,Por la rapidez que se pueden hacer operaciones bancarias
TCR,Cuando tenua dudas y consulte a mi asesor ellos me dieron la informacion rapidamente
Canales y servicios,Es sencilla y rapida. Nunca tuve problemas. Es facil de entender. Nada complicado te va guiando bien
Canales y servicios,Por la facilidad que tiene la interfaz la forma en la que presenta las cosas en la pagina es facil e operar
Calidad de atencion ,Por la misma razon porque nunca he tenido problemas de nada. No estoy muy encima de eso pero los productos que tengo los utilizo sin problemas.
Calidad de atencion ,Cuando vamos por caja tengo prioridad para la atencion cuando voy a comprar dolares.
Calidad de atencion ,No te se decir yo no trabajo mucho con el banco hasta ahora nunca tuve problemas. Lo poco que voy la atencion ha sido muy buena son muy atentos cuando voy a hacer un plazo fijo o cualquier otro tramite.
Canales y servicios,Me atendieron rapidamente y me solucionaron el inconveniente
Canales y servicios,No es muy  intuitivo las opciones ya no se encuentran tan facilmente
Tiempos de espera,Por la demora en la atencion
Productos,Porque tienen mucha gama de productos para viajes y todo
Canales y servicios,Porque con el nuevo formato de la pagina y no es muy bueno
Tiempos de espera,El tiempo de respuesta porque demora en responder las consultas
Productos,Porque te dan todo. Te ofrecen de todo. Es buenusimo. Te ofrecen tarjetas prestamos.
Canales y servicios,Porque la verdad es muy sencilla amigable y visualmente es agradable funciona bien. Lo ˙nico que si no cerras la sesion bien no pode entrar por 15 min. Queda como logueado.
Tiempos de espera,Por ahu el tiempo de espera estuve un rato largo no se  40 minutos.  Solo eso.
Productos,Los precios deberua mejorar mi paquete me parece caro.  Despues no conozco otros  productos solo tengo ese.
Canales y servicios,La lunea frances si bien brinda una diversidad de servicios a los clientes hay determinadas cosas que no se pueden hacer por esa lunea. Yo tenua un plazo fijo y llame para renovarlo. No pude hacerlo por telefono porque lo habua constituido de manera fusica en la sucursal. Cuando esto pasa solamente
Layout sucursal,La sucursal Rivadavia. Me parece interesante que hayan puesto otra sucursal en la provincia de san juan. Esta es mas chiquita pero ha descongestionado mucho la afluencia de p˙blico
Canales y servicios,En los ˙ltimos cambios que le hicieron a la pagina se hace mas difucil encontrar lo que necesitas
Layout sucursal,A la que yo voy habitualmente esta muy bien ubicada y es facil para acceder
Layout sucursal,La sucursal que voy es medio pequeÒa y hay poco espacio
Productos,Ya no tiene tanta variedad de productos o la informacion sobre los mismos
Calidad de atencion ,La ˙ltima vez fui a la lunea de cajas y fueron muy amables y muy cordiales teniendo en cuenta que habua muchusima gente de todos modos fueron cordiales.
